"ip","interface","vlan"
"192.168.134.212","Et0/0","1"
"192.168.134.212","Et0/1","1"
"192.168.134.212","Et0/2","1"
"192.168.134.213","Et0/0","1"
"192.168.134.213","Et0/1","1"
"192.168.134.213","Et0/2","1"
"192.168.134.214","Et0/0","1"
"192.168.134.214","Et0/1","1"
"192.168.134.214","Et0/2","1"
"192.168.134.215","Et0/0","1"
"192.168.134.215","Et0/1","1"
"192.168.134.215","Et0/2","1"
"192.168.134.216","Et0/0","1"
"192.168.134.216","Et0/1","1"
"192.168.134.216","Et0/2","1"
"192.168.134.217","Et0/0","1"
"192.168.134.217","Et0/1","1"
"192.168.134.217","Et0/2","1"
