"device_type","ip","login"
"cisco_ios","192.168.134.201",True
"cisco_ios","192.168.134.202",True
"cisco_ios","192.168.134.203",True
"cisco_ios","192.168.134.204",True
"cisco_ios","192.168.134.205",True
"cisco_ios","192.168.134.206",True
"cisco_ios","192.168.134.207",True
"cisco_ios","192.168.134.208",True
"cisco_ios","192.168.134.209",True
"cisco_ios","192.168.134.210",True
"cisco_ios","192.168.134.211",True
"cisco_ios_telnet","192.168.134.212",True
"cisco_ios_telnet","192.168.134.213",True
"cisco_ios_telnet","192.168.134.214",True
"cisco_ios_telnet","192.168.134.215",True
"cisco_ios_telnet","192.168.134.216",True
"cisco_ios_telnet","192.168.134.217",True
